csp,sdf,real-time
4Queens,n,1.13
4Queens,n,1.15
4Queens,n,1.12
4Queens,y,1.11
4Queens,y,1.14
4Queens,y,1.11
6Queens,n,1.12
6Queens,n,1.12
6Queens,n,1.12
6Queens,y,1.12
6Queens,y,1.13
6Queens,y,1.15
8Queens,n,1.14
8Queens,n,1.14
8Queens,n,1.14
8Queens,y,1.15
8Queens,y,1.14
8Queens,y,1.14
10Queens,n,1.15
10Queens,n,1.16
10Queens,n,1.20
10Queens,y,1.15
10Queens,y,1.14
10Queens,y,1.14
langfords2_3,n,1.14
langfords2_3,n,1.12
langfords2_3,n,1.11
langfords2_3,y,1.11
langfords2_3,y,1.12
langfords2_3,y,1.14
langfords2_4,n,1.13
langfords2_4,n,1.12
langfords2_4,n,1.13
langfords2_4,y,1.12
langfords2_4,y,1.13
langfords2_4,y,1.13
langfords3_9,n,47.36
langfords3_9,n,47.61
langfords3_9,n,47.35
langfords3_9,y,44.03
langfords3_9,y,44.07
langfords3_9,y,44.21
langfords3_10,n,305.71
langfords3_10,n,303.91
langfords3_10,n,304.04
langfords3_10,y,238.61
langfords3_10,y,241.25
langfords3_10,y,243.24
